page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   4     0 image    1190   590  icc     3   8  image  no        15  0   190   189 29.9K 1.5%
   4     1 image    1189   590  icc     3   8  image  no        17  0   190   189 28.7K 1.4%
   4     2 image    1189   590  icc     3   8  image  no        18  0   190   189 27.4K 1.3%
   5     3 image    1190   590  icc     3   8  image  no        21  0   190   189 29.7K 1.4%
   5     4 image    1189   590  icc     3   8  image  no        22  0   190   189 29.7K 1.4%
   5     5 image    1189   590  icc     3   8  image  no        23  0   190   189 27.1K 1.3%
   6     6 image    1189   590  icc     3   8  image  no        26  0   190   189 27.1K 1.3%
   6     7 image    1189   590  icc     3   8  image  no        27  0   190   189 34.6K 1.7%
   6     8 image    1189   590  icc     3   8  image  no        28  0   190   189 34.1K 1.7%
   7     9 image    1189   590  icc     3   8  image  no        31  0   190   189 25.6K 1.2%
   7    10 image    1189   590  icc     3   8  image  no        32  0   190   189 33.1K 1.6%
   7    11 image    1189   590  icc     3   8  image  no        33  0   190   189 33.1K 1.6%
   9    12 image    1189   590  icc     3   8  image  no        38  0   190   189 31.1K 1.5%
   9    13 image    1189   590  icc     3   8  image  no        39  0   190   189 28.5K 1.4%
   9    14 image    1189   590  icc     3   8  image  no        40  0   190   189 27.8K 1.4%
  10    15 image    1189   590  icc     3   8  image  no        43  0   190   189 29.7K 1.4%
  10    16 image    1189   590  icc     3   8  image  no        44  0   190   189 29.8K 1.5%
  10    17 image    1190   590  icc     3   8  image  no        45  0   190   189 28.5K 1.4%
  11    18 image    1189   590  icc     3   8  image  no        48  0   190   189 27.4K 1.3%
  11    19 image    1189   590  icc     3   8  image  no        49  0   190   189 34.3K 1.7%
  11    20 image    1189   590  icc     3   8  image  no        50  0   190   189 32.6K 1.6%
  12    21 image    1189   590  icc     3   8  image  no        53  0   190   189 26.0K 1.3%
  12    22 image    1189   590  icc     3   8  image  no        54  0   190   189 34.0K 1.7%
  12    23 image    1189   590  icc     3   8  image  no        55  0   190   189 31.5K 1.5%
  14    24 image    1189   590  icc     3   8  image  no        60  0   190   189 28.2K 1.4%
  14    25 image    1189   590  icc     3   8  image  no        61  0   190   189 28.1K 1.4%
  14    26 image    1189   590  icc     3   8  image  no        62  0   190   189 34.1K 1.7%
  15    27 image    1189   590  icc     3   8  image  no        65  0   190   189 31.7K 1.5%
  17    28 image    1189   590  icc     3   8  image  no        70  0   190   189 29.5K 1.4%
  17    29 image    1189   590  icc     3   8  image  no        71  0   190   189 28.7K 1.4%
  17    30 image    1189   590  icc     3   8  image  no        72  0   190   189 34.0K 1.7%
  18    31 image    1189   590  icc     3   8  image  no        75  0   190   189 30.4K 1.5%
  20    32 image    1189   590  icc     3   8  image  no        80  0   190   189 30.9K 1.5%
  20    33 image    1189   590  icc     3   8  image  no        81  0   190   189 31.9K 1.6%
  20    34 image    1189   590  icc     3   8  image  no        82  0   190   189 33.2K 1.6%
  21    35 image    1190   590  icc     3   8  image  no        85  0   190   189 32.2K 1.6%
  21    36 image    1189   590  icc     3   8  image  no        86  0   190   189 27.7K 1.3%
  21    37 image    1189   590  icc     3   8  image  no        87  0   190   189 27.5K 1.3%
  22    38 image    1189   590  icc     3   8  image  no        90  0   190   189 34.9K 1.7%
  22    39 image    1189   590  icc     3   8  image  no        91  0   190   189 28.3K 1.4%
  24    40 image    1189   590  icc     3   8  image  no        96  0   190   189 31.6K 1.5%
  24    41 image    1190   590  icc     3   8  image  no        97  0   190   189 32.9K 1.6%
  24    42 image    1190   590  icc     3   8  image  no        98  0   190   189 34.0K 1.7%
  25    43 image    1189   590  icc     3   8  image  no       101  0   190   189 30.8K 1.5%
  25    44 image    1189   590  icc     3   8  image  no       102  0   190   189 27.1K 1.3%
  25    45 image    1189   590  icc     3   8  image  no       103  0   190   189 27.3K 1.3%
  26    46 image    1189   590  icc     3   8  image  no       106  0   190   189 35.1K 1.7%
  26    47 image    1189   590  icc     3   8  image  no       107  0   190   189 29.0K 1.4%
  28    48 image    1189   590  icc     3   8  image  no       112  0   190   189 29.8K 1.5%
  28    49 image    1190   590  icc     3   8  image  no       113  0   190   189 31.9K 1.6%
  28    50 image    1189   590  icc     3   8  image  no       114  0   190   189 30.8K 1.5%
  29    51 image    1189   590  icc     3   8  image  no       117  0   190   189 28.8K 1.4%
  29    52 image    1189   590  icc     3   8  image  no       118  0   190   189 30.4K 1.5%
  29    53 image    1189   590  icc     3   8  image  no       119  0   190   189 27.4K 1.3%
  30    54 image    1189   590  icc     3   8  image  no       122  0   190   189 28.8K 1.4%
  30    55 image    1189   590  icc     3   8  image  no       123  0   190   189 28.8K 1.4%
  30    56 image    1189   590  icc     3   8  image  no       124  0   190   189 31.2K 1.5%
  31    57 image    1189   590  icc     3   8  image  no       127  0   190   189 27.3K 1.3%
  33    58 image    1189   590  icc     3   8  image  no       132  0   190   189 29.7K 1.4%
  33    59 image    1189   590  icc     3   8  image  no       133  0   190   189 30.8K 1.5%
  33    60 image    1189   590  icc     3   8  image  no       134  0   190   189 28.6K 1.4%
  34    61 image    1189   590  icc     3   8  image  no       137  0   190   189 30.5K 1.5%
  34    62 image    1189   590  icc     3   8  image  no       138  0   190   189 30.3K 1.5%
  34    63 image    1189   590  icc     3   8  image  no       139  0   190   189 27.7K 1.3%
  35    64 image    1189   590  icc     3   8  image  no       142  0   190   189 28.7K 1.4%
  35    65 image    1189   590  icc     3   8  image  no       143  0   190   189 28.7K 1.4%
  35    66 image    1189   590  icc     3   8  image  no       144  0   190   189 33.3K 1.6%
  36    67 image    1189   590  icc     3   8  image  no       147  0   190   189 29.2K 1.4%
  38    68 image    1189   590  icc     3   8  image  no       152  0   190   189 28.9K 1.4%
  38    69 image    1189   590  icc     3   8  image  no       153  0   190   189 29.2K 1.4%
  38    70 image    1189   590  icc     3   8  image  no       154  0   190   189 27.8K 1.4%
  39    71 image    1189   590  icc     3   8  image  no       157  0   190   189 30.5K 1.5%
  39    72 image    1189   590  icc     3   8  image  no       158  0   190   189 26.1K 1.3%
  39    73 image    1189   590  icc     3   8  image  no       159  0   190   189 26.5K 1.3%
  40    74 image    1189   590  icc     3   8  image  no       162  0   190   189 30.8K 1.5%
  40    75 image    1189   590  icc     3   8  image  no       163  0   190   189 27.6K 1.3%
  42    76 image    1189   590  icc     3   8  image  no       168  0   190   189 37.4K 1.8%
  42    77 image    1189   590  icc     3   8  image  no       169  0   190   189 34.9K 1.7%
  42    78 image    1189   590  icc     3   8  image  no       170  0   190   189 34.4K 1.7%
  43    79 image    1190   590  icc     3   8  image  no       173  0   190   189 33.4K 1.6%
  43    80 image    1190   590  icc     3   8  image  no       174  0   190   189 33.3K 1.6%
  43    81 image    1190   590  icc     3   8  image  no       175  0   190   189 35.3K 1.7%
  44    82 image    1190   590  icc     3   8  image  no       178  0   190   189 34.4K 1.7%
  44    83 image    1190   590  icc     3   8  image  no       179  0   190   189 32.9K 1.6%
  44    84 image    1189   590  icc     3   8  image  no       180  0   190   189 34.8K 1.7%
  45    85 image    1189   590  icc     3   8  image  no       183  0   190   189 31.1K 1.5%
  45    86 image    1189   590  icc     3   8  image  no       184  0   190   189 29.6K 1.4%
  45    87 image    1189   590  icc     3   8  image  no       185  0   190   189 26.8K 1.3%
  46    88 image    1189   590  icc     3   8  image  no       188  0   190   189 27.0K 1.3%
  46    89 image    1189   590  icc     3   8  image  no       189  0   190   189 28.5K 1.4%
  46    90 image    1189   590  icc     3   8  image  no       190  0   190   189 28.5K 1.4%
  47    91 image    1189   590  icc     3   8  image  no       193  0   190   189 29.7K 1.4%
  47    92 image    1189   590  icc     3   8  image  no       194  0   190   189 31.0K 1.5%
  47    93 image    1189   590  icc     3   8  image  no       195  0   190   189 31.6K 1.5%
  48    94 image    1189   590  icc     3   8  image  no       198  0   190   189 32.4K 1.6%
  48    95 image    1189   590  icc     3   8  image  no       199  0   190   189 32.0K 1.6%
  51    96 image    1788   790  icc     3   8  image  no       207  0   261   260 73.7K 1.8%
  52    97 image     465   226  icc     3   8  image  no       210  0    96    96 21.2K 6.9%
  53    98 image    1015   218  icc     3   8  image  no       213  0   162   162 37.4K 5.8%
  54    99 image     512   225  icc     3   8  image  no       216  0    85    85 14.4K 4.3%
  57   100 image    1211  1861  icc     3   8  image  no       225  0   221   221  155K 2.4%
  58   101 image     932  1852  icc     3   8  image  no       228  0   196   197  105K 2.1%
  65   102 image    1390   690  icc     3   8  image  no       243  0   222   222 47.7K 1.7%
  66   103 image    1390   690  icc     3   8  image  no       246  0   222   222 45.2K 1.6%
  86   104 image     512   346  icc     3   8  image  no       289  0    96    96  123K  24%
  86   105 image     906   378  icc     3   8  image  no       290  0   144   145 29.0K 2.9%
  87   106 image     512   336  icc     3   8  image  no       293  0    96    96 94.9K  19%
  87   107 image    1200   500  icc     3   8  image  no       294  0   224   223 56.0K 3.2%
  88   108 image     679   442  icc     3   8  image  no       297  0   108   108 40.2K 4.6%
  88   109 image     688   440  icc     3   8  image  no       298  0   110   110 40.1K 4.5%
  89   110 image     650   442  icc     3   8  image  no       301  0   110   110 39.4K 4.7%
  89   111 image     688   440  icc     3   8  image  no       302  0   116   116 41.5K 4.7%
  90   112 image     653   377  icc     3   8  image  no       305  0   117   132 29.9K 4.1%
  90   113 image     651   359  icc     3   8  image  no       306  0   116   140 29.8K 4.4%
  91   114 image     669   377  icc     3   8  image  no       309  0   135   136 31.5K 4.3%
  91   115 image     651   359  icc     3   8  image  no       310  0   131   131 29.3K 4.3%
  94   116 image     891   381  icc     3   8  image  no       317  0   142   142  136K  14%
  94   117 image    1102   441  icc     3   8  image  no       318  0   176   176 80.1K 5.6%
  95   118 image     893   350  icc     3   8  image  no       321  0   142   142  125K  14%
  95   119 image     995   412  icc     3   8  image  no       322  0   159   159 74.0K 6.2%
  96   120 image    1806  1566  icc     3   8  image  no       325  0   288   289  202K 2.4%
